1000
;;;Imported Bertec Force Plate #1 - Force;;;Imported Bertec Force Plate #1 - Moment;;;Imported Bertec Force Plate #1 - CoP;;;
Frame;Sub Frame;Tiempo;Fx;Fy;Fz;Mx;My;Mz;Cx;Cy;Cz
;;;N;N;N;N.mm;N.mm;N.mm;mm;mm;mm
212;3;0.033;3.23987;-1.13455;-445.865;417.271;24995.8;-188.54;256.061;299.064;0
212;4;0.034;3.24983;-1.12975;-445.865;414.727;24994.5;-189.332;256.058;299.07;0
212;5;0.035;3.25918;-1.12461;-445.865;412.252;24993.2;-190.079;256.056;299.075;0
212;6;0.036;3.26792;-1.11916;-445.866;409.842;24992.1;-190.776;256.053;299.081;0
212;7;0.037;3.27602;-1.1134;-445.866;407.495;24991;-191.416;256.051;299.086;0
212;8;0.038;3.28347;-1.10734;-445.868;405.206;24990.1;-191.996;256.048;299.091;0
212;9;0.039;3.29025;-1.10099;-445.87;402.967;24989.3;-192.509;256.046;299.096;0
213;0;0.04;3.29633;-1.09437;-445.872;400.771;24988.6;-192.952;256.044;299.101;0
213;1;0.041;3.3017;-1.0875;-445.875;398.608;24988;-193.323;256.043;299.106;0
213;2;0.042;3.30634;-1.08039;-445.878;396.467;24987.4;-193.618;256.041;299.111;0
213;3;0.043;3.31022;-1.07306;-445.882;394.335;24987;-193.836;256.04;299.116;0
213;4;0.044;3.31332;-1.06553;-445.887;392.196;24986.7;-193.977;256.038;299.12;0
213;5;0.045;3.31563;-1.05782;-445.893;390.033;24986.5;-194.04;256.037;299.125;0
213;6;0.046;3.31712;-1.04993;-445.899;387.827;24986.5;-194.027;256.036;299.13;0
213;7;0.047;3.31779;-1.0419;-445.907;385.558;24986.5;-193.939;256.035;299.135;0
213;8;0.048;3.31761;-1.03373;-445.916;383.202;24986.7;-193.779;256.035;299.141;0
213;9;0.049;3.31657;-1.02543;-445.926;380.736;24987;-193.551;256.034;299.146;0
214;0;0.05;3.31468;-1.01703;-445.937;378.133;24987.4;-193.257;256.034;299.152;0
214;1;0.051;3.31191;-1.00852;-445.949;375.367;24988;-192.903;256.033;299.158;0
214;2;0.052;3.30828;-0.99993;-445.963;372.409;24988.7;-192.492;256.033;299.165;0
214;3;0.053;3.30379;-0.991257;-445.979;369.231;24989.6;-192.031;256.033;299.172;0
214;4;0.054;3.29844;-0.982511;-445.996;365.801;24990.6;-191.524;256.033;299.18;0
214;5;0.055;3.29225;-0.973699;-446.014;362.089;24991.9;-190.977;256.034;299.188;0
214;6;0.056;3.28522;-0.964825;-446.035;358.064;24993.3;-190.396;256.034;299.197;0
214;7;0.057;3.27739;-0.955892;-446.057;353.692;24994.9;-189.786;256.035;299.207;0
214;8;0.058;3.26876;-0.946902;-446.08;348.942;24996.8;-189.153;256.037;299.218;0
214;9;0.059;3.25938;-0.937852;-446.106;343.781;24998.9;-188.504;256.038;299.229;0
215;0;0.06;3.24926;-0.92874;-446.133;338.175;25001.2;-187.845;256.04;299.242;0
215;1;0.061;3.23846;-0.919559;-446.162;332.092;25003.8;-187.18;256.042;299.256;0
215;2;0.062;3.227;-0.910299;-446.193;325.501;25006.7;-186.517;256.045;299.271;0
215;3;0.063;3.21493;-0.900946;-446.225;318.369;25009.9;-185.86;256.048;299.287;0
215;4;0.064;3.2023;-0.891484;-446.259;310.669;25013.4;-185.214;256.051;299.304;0
215;5;0.065;3.18917;-0.881894;-446.295;302.372;25017.2;-184.585;256.055;299.322;0
215;6;0.066;3.1756;-0.872153;-446.333;293.454;25021.4;-183.977;256.06;299.343;0
215;7;0.067;3.16165;-0.862233;-446.372;283.893;25025.9;-183.393;256.065;299.364;0
215;8;0.068;3.14739;-0.852108;-446.413;273.671;25030.8;-182.836;256.071;299.387;0
215;9;0.069;3.13289;-0.841746;-446.455;262.774;25036.2;-182.31;256.078;299.411;0
216;0;0.07;3.11823;-0.831115;-446.499;251.19;25041.9;-181.816;256.085;299.437;0
216;1;0.071;3.10349;-0.820181;-446.545;238.915;25048.1;-181.356;256.093;299.465;0
216;2;0.072;3.08876;-0.808911;-446.592;225.947;25054.7;-180.93;256.102;299.494;0
216;3;0.073;3.07413;-0.79727;-446.64;212.289;25061.8;-180.539;256.112;299.525;0
216;4;0.074;3.05968;-0.785223;-446.69;197.95;25069.4;-180.183;256.123;299.557;0
