Devices
1000
		Imported Bertec Force Plate #1 - Force			Imported Bertec Force Plate #1 - Moment			Imported Bertec Force Plate #1 - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
214	5	3.29225	-0.973699	-446.014	362.089	24991.9	-190.977	256.034	299.188	0
214	6	3.28522	-0.964825	-446.035	358.064	24993.3	-190.396	256.034	299.197	0
214	7	3.27739	-0.955892	-446.057	353.692	24994.9	-189.786	256.035	299.207	0
214	8	3.26876	-0.946902	-446.08	348.942	24996.8	-189.153	256.037	299.218	0
214	9	3.25938	-0.937852	-446.106	343.781	24998.9	-188.504	256.038	299.229	0
215	0	3.24926	-0.92874	-446.133	338.175	25001.2	-187.845	256.04	299.242	0
215	1	3.23846	-0.919559	-446.162	332.092	25003.8	-187.18	256.042	299.256	0
215	2	3.227	-0.910299	-446.193	325.501	25006.7	-186.517	256.045	299.271	0
215	3	3.21493	-0.900946	-446.225	318.369	25009.9	-185.86	256.048	299.287	0
215	4	3.2023	-0.891484	-446.259	310.669	25013.4	-185.214	256.051	299.304	0
215	5	3.18917	-0.881894	-446.295	302.372	25017.2	-184.585	256.055	299.322	0
215	6	3.1756	-0.872153	-446.333	293.454	25021.4	-183.977	256.06	299.343	0
215	7	3.16165	-0.862233	-446.372	283.893	25025.9	-183.393	256.065	299.364	0
215	8	3.14739	-0.852108	-446.413	273.671	25030.8	-182.836	256.071	299.387	0
215	9	3.13289	-0.841746	-446.455	262.774	25036.2	-182.31	256.078	299.411	0
216	0	3.11823	-0.831115	-446.499	251.19	25041.9	-181.816	256.085	299.437	0
216	1	3.10349	-0.820181	-446.545	238.915	25048.1	-181.356	256.093	299.465	0
216	2	3.08876	-0.808911	-446.592	225.947	25054.7	-180.93	256.102	299.494	0
216	3	3.07413	-0.79727	-446.64	212.289	25061.8	-180.539	256.112	299.525	0
216	4	3.05968	-0.785223	-446.69	197.95	25069.4	-180.183	256.123	299.557	0
216	5	3.04553	-0.772737	-446.741	182.943	25077.5	-179.861	256.134	299.59	0
216	6	3.03175	-0.759779	-446.793	167.284	25086.1	-179.574	256.147	299.626	0
216	7	3.01846	-0.746317	-446.846	150.997	25095.3	-179.321	256.161	299.662	0
216	8	3.00576	-0.73232	-446.9	134.107	25105.1	-179.102	256.176	299.7	0
216	9	2.99377	-0.717759	-446.956	116.645	25115.4	-178.917	256.192	299.739	0
217	0	2.98257	-0.702605	-447.012	98.6459	25126.3	-178.767	256.21	299.779	0
217	1	2.97231	-0.68683	-447.069	80.1487	25137.9	-178.653	256.228	299.821	0
217	2	2.96308	-0.670408	-447.126	61.1954	25150.1	-178.576	256.248	299.863	0
217	3	2.955	-0.653313	-447.185	41.8317	25163	-178.541	256.27	299.906	0
217	4	2.9482	-0.635518	-447.243	22.1066	25176.5	-178.551	256.293	299.951	0
217	5	2.9428	-0.616998	-447.302	2.07167	25190.8	-178.61	256.317	299.995	0
217	6	2.93893	-0.59773	-447.361	-18.2189	25205.8	-178.725	256.343	300.041	0
217	7	2.93671	-0.57769	-447.42	-38.7086	25221.6	-178.901	256.371	300.087	0
217	8	2.93627	-0.556854	-447.479	-59.3392	25238.2	-179.148	256.401	300.133	0
217	9	2.93774	-0.535203	-447.537	-80.0511	25255.5	-179.472	256.432	300.179	0
218	0	2.94125	-0.512716	-447.595	-100.783	25273.7	-179.884	256.466	300.225	0
218	1	2.94693	-0.489378	-447.652	-121.475	25292.7	-180.393	256.501	300.271	0
218	2	2.95491	-0.465173	-447.708	-142.063	25312.6	-181.009	256.538	300.317	0
218	3	2.96532	-0.44009	-447.763	-162.487	25333.4	-181.742	256.578	300.363	0
218	4	2.97828	-0.414122	-447.816	-182.686	25355.1	-182.605	256.62	300.408	0
218	5	2.99393	-0.387264	-447.867	-202.6	25377.7	-183.606	256.664	300.452	0
218	6	3.01238	-0.359516	-447.916	-222.172	25401.3	-184.756	256.71	300.496	0
218	7	3.03375	-0.330883	-447.963	-241.346	25425.8	-186.067	256.759	300.539	0
218	8	3.05815	-0.301374	-448.007	-260.07	25451.3	-187.546	256.81	300.581	0
218	9	3.08569	-0.271003	-448.048	-278.296	25477.7	-189.205	256.864	300.621	0
219	0	3.11647	-0.239787	-448.086	-295.979	25505.1	-191.051	256.92	300.661	0
219	1	3.15058	-0.20775	-448.121	-313.08	25533.6	-193.093	256.979	300.699	0
219	2	3.18811	-0.174918	-448.152	-329.564	25563	-195.339	257.041	300.735	0
219	3	3.22913	-0.141325	-448.18	-345.402	25593.5	-197.795	257.105	300.771	0
219	4	3.27373	-0.107004	-448.203	-360.571	25625	-200.468	257.173	300.805	0
